rain,A form of precipitation.,Water droplets falling from the sky
university,school for big kids
book,A written work,A collection of bound pages for reading.
soaham,sick lad
sun,The star at the center of our solar system,Source of light and energy.
misogyny,hatred of, aversion to, or prejudice against women
computer,Used for computing and storage.,An electronic device for processing data
mountain,A large natural elevation of the earth's surface,A popular site for hiking.
ocean,A vast body of salt water,Covers most of Earth's surface.
cat,A small domesticated feline,A common household pet.
coffee,A brewed drink prepared from roasted coffee beans,An energizing beverage.
dog,A domesticated canine,A loyal companion.
